,Unnamed: 0.18,Unnamed: 0.17,Unnamed: 0.16,Unnamed: 0.15,Unnamed: 0.14,Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,latitude,longitude,B21BTOT,propability_density
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19949,19949,46.523313378618816,6.588918211985974,282,0.0007077425021960095
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20008,20008,46.52242362407736,6.590235482159976,3,7.529175555276697e-06
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,20009,20009,46.52332313114361,6.590221364342433,146,0.00036641987702346594
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,20010,20010,46.526021652106486,6.590179008082474,74,0.0001857196636968252
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,20057,20057,46.522433361491146,6.591538613327662,13,3.2626427406199024e-05
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,20058,20058,46.52603139016208,6.591482225881037,64,0.00016062241184590286
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,20059,20059,46.52693089723076,6.591468127851363,55,0.00013803488518007278
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,20060,20060,46.52783040425936,6.59145402935443,3,7.529175555276697e-06
8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,20107,20107,46.52244308395458,6.592841744962474,16,4.0155602961475715e-05
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,20108,20108,46.52514160599759,6.59279952005045,60,0.00015058351110553393
10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,20109,20109,46.52604111326635,6.592785444146831,168,0.00042163383109549503
11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,20110,20110,46.52694062049522,6.592771367776696,35,8.784038147822813e-05
12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,20111,20111,46.52784012768407,6.592757290940019,42,0.00010540845777387376
13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,20112,20112,46.52873963483265,6.592743213636772,3,7.529175555276697e-06
14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,20113,20113,46.53143815603444,6.592700978927346,15,3.764587777638348e-05
15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,20161,20161,46.52155328388179,6.594158929445537,28,7.027230518258251e-05
16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,20162,20162,46.52245279146759,6.594144877063695,3,7.529175555276697e-06
17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,20163,20163,46.524251806522194,6.59411677090291,59,0.0001480737859204417
18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,20164,20164,46.52515131399049,6.594102717123913,200,0.0005019450370184465
19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,20165,20165,46.52605082141925,6.594088662879142,99,0.000248462793324131
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20166,20166,46.52784983615695,6.594060552992178,3,7.529175555276697e-06
21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,20167,20167,46.53144786514725,6.594004327627808,268,0.0006726063496047183
22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,20168,20168,46.532347372292485,6.5939902701218855,79,0.00019826828962228637
23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,20169,20169,46.53324687939636,6.593976212149978,39,9.787928221859706e-05
24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,20209,20209,46.51976396067773,6.595490100413292,46,0.00011544735851424269
25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,20210,20210,46.52336199173688,6.5954339784398,34,8.53306562931359e-05
26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,20211,20211,46.524261499404304,6.595419946783987,18,4.517505333166018e-05
27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,20212,20212,46.52516100703233,6.5954059146631465,61,0.00015309323629062618
28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,20213,20213,46.5305580519611,6.595321712171012,121,0.0003036767473961601
